都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
442011,33,大分県,大分市,大分工業高等学校,,大分市芳河原台１２番１号,,33.19706,131.615107,,097-568-7322,,,,,,,,,,
442011,34,大分県,大分市,大分商業高等学校,,大分市西浜４－２,,33.247544,131.628381,,097-558-2611,,,,,,,,,,
442011,35,大分県,大分市,大分西高等学校,,大分市新春日町２丁目１－１,,33.233933,131.589746,,097-543-1551,,,,,,,,,,
442011,36,大分県,大分市,爽風館高等学校,,大分市上野丘１丁目１１－１４,,33.224886,131.610311,,097-547-7733,,,,,,,,,,
442011,37,大分県,大分市,大分鶴崎高等学校,,大分市南鶴崎３丁目５番１号,,33.238019,131.692098,,097-527-2166,,,,,,,,,,
442011,38,大分県,大分市,鶴崎工業高等学校,,大分市大字葛木５０９番地,,33.222659,131.672905,,097-527-5261,,,,,,,,,,
442011,39,大分県,大分市,情報科学高等学校,,大分市大字横尾１６０５,,33.203882,131.648409,,097-553-1212,,,,,,,,,,
442011,40,大分県,大分市,大分東高等学校,,大分市大字屋山２００９番地,,33.220133,131.744733,,097-592-1064,,,,,,,,,,
442011,41,大分県,大分市,大分豊府中学校,,大分市大字羽屋６００番地１,,33.206714,131.605606,,097-546-2404,,,,,,,,,,
442011,42,大分県,大分市,大分県立盲学校,,大分市金池町３丁目１番７５号,,33.232961,131.613299,,097-532-2638,,,,,,,,,,寄宿舎１台含む
442011,43,大分県,大分市,大分県立聾学校,,大分市東大道２丁目５－１２,,33.228545,131.601745,,097-543-2047,,,,,,,,,,寄宿舎１台含む
442011,44,大分県,大分市,新生支援学校,,大分市大字玉沢９８０－１,,33.23521,131.59344,,097-541-0336,,,,,,,,,,
442011,45,大分県,大分市,大分支援学校,,大分市大字志村７６３－１,,33.240658,131.706263,,097-527-2711,,,,,,,,,,
442011,46,大分県,大分市,大分県立図書館,,大分市大字駄原５８７番地の１,,33.239428,131.590105,,097-546-9972,,,,,,,,,,
442011,47,大分県,大分市,大分県立芸術会館,,大分市牧緑町１－６１,,33.238625,131.634528,,097-552-0077,,,,,,,,,,
442011,48,大分県,大分市,大分県立総合体育館,,大分市青葉町　大洲運動公園内,,33.252777,131.627502,,097-551-1511,,,,,,,,,,
442011,49,大分県,大分市,大分東警察署,,大分市三佐５丁目２番２３号,,33.253871,131.682922,,097-527-2131,,,,,,,24時間対応,,,
442011,50,大分県,大分市,大分南警察署,,大分市大字横瀬２２１２番地の１,,33.189573,131.536029,,097-542-2131,,,,,,,24時間対応,,,
442011,51,大分県,大分市,大分中央警察署,,大分市荷揚町５番６号,,33.241155,131.607605,,097-533-2131,,,,,,,24時間対応,,,
442011,52,大分県,大分市,大分南署大南幹部交番,,大分市大字中戸次５８７９－１,,33.153459,131.656184,,097-597-0004,,,,,,,24時間対応,,,
442011,53,大分県,大分市,県庁新館１０階,,大分市大手町３-１-１,,33.237366,131.612045,,097-536-2131,,,,,,,24時間対応,,,
442011,54,大分県,大分市,大分県警察本部別館,,大分市荷揚町５番３６号,,33.24096815,131.6094035,,097-536-2131,,,,,,,,,,
442011,55,大分県,大分市,高速道路交通警察隊,,大分市金谷迫１４３８,,33.224186,131.573669,,097-544-6881,,,,,,,24時間対応,,,
442011,56,大分県,大分市,機動隊,,大分市福宗２３０１番地の４,,33.167061,131.509216,,097-588-1249,,,,,,,24時間対応,,,
442011,57,大分県,大分市,鑑識科学センター,,大分市高江西２丁目２番,,33.16011,131.610382,,097-536-2131,,,,,,,24時間対応,,,
442011,58,大分県,大分市,大分県運転免許センター,,大分市松岡６６８７番地,,33.188324,131.649612,,097-536-2131,,,,,,,24時間対応,,,
442011,59,大分県,大分市,大分県警察学校,,大分市大字福宗２３０１番地の４,,33.159298,131.492612,,097-588-1246,,,,,,,24時間対応,,,
442011,60,大分県,大分市,大分県警察本部留置管理センター,,大分市大字横瀬２２１２番地の１,,33.189724,131.535507,,097-536-2131,,,,,,,,,,
442011,61,大分県,大分市,大分市役所　本庁舎,,大分市荷揚町２番３１号,,33.239461,131.609688,,097-534-6111,,,,,,,,,,
442011,62,大分県,大分市,大分市役所　第２庁舎,,大分市荷揚町２番３１号,,33.23981104,131.6085691,,097-534-6111,,,,,,,,,,
442011,63,大分県,大分市,大分市役所　議会棟,,大分市荷揚町２番３１号,,33.23990099,131.6091484,,097-534-6111,,,,,,,,,,
442011,64,大分県,大分市,鶴崎市民行政センター,,大分市東鶴崎一丁目２番３号,,33.240514,131.694559,,097-527-2111,,,,,,,,,,
442011,65,大分県,大分市,稙田市民行政センター,,大分市大字玉沢７４３番地２,,33.188317,131.578306,,097-541-1234,,,,,,,,,,
442011,66,大分県,大分市,大南市民センター,,大分市大字中戸次５１１５番地の１,,33.151754,131.654484,,097-597-1000,,,,,,,,,,
442011,67,大分県,大分市,大在市民センター,,大分市政所一丁目４番３号,,33.246755,131.721487,,097-592-0511,,,,,,,,,,
442011,68,大分県,大分市,坂ノ市市民センター,,大分市坂ノ市南三丁目５番３３号,,33.230843,131.751722,,097-592-1700,,,,,,,,,,
442011,69,大分県,大分市,（大分市役所）佐賀関市民センター,,大分市大字佐賀関1407番地の27,,33.249167,131.873352,,097-575-1111,,,,,,,,,,
442011,70,大分県,大分市,野津原市民センター,,大分市大字野津原８００番地,,33.162596,131.529736,,097-588-1111,,,,,,,,,,
442011,71,大分県,大分市,（大分市役所）明野出張所,,大分市明野東一丁目１番１号,,33.22393,131.652627,,097-558-1255,,,,,,,,,,
442011,72,大分県,大分市,大分市保健所,,大分市荷揚町６番１号,,33.241048,131.60984,,097-536-2222,,,,,,,,,,
442011,73,大分県,大分市,大分市上下水道局,,大分市城崎一丁目５番１０号,,33.239952,131.614365,,097-538-1211,,,,,,,,,,
442011,74,大分県,大分市,大分市庁舎城崎分館,,大分市城崎町二丁目３番４号,,33.240803,131.613144,,097-537-5640,,,,,,,,,,
442011,75,大分県,大分市,コンパルホール,,大分市府内町一丁目５番３８号,,33.235491,131.611091,,097-538-3700,,,,,,,,,,
442011,76,大分県,大分市,旭町児童館,,大分市旭町６番１号,,33.219073,131.593857,,097-546-2316,,,,,,,,,,
442011,77,大分県,大分市,ライフパル（市民活動消費生活センター）,,大分市府内町３丁目７番３９号,,33.237301,131.610168,,097-537-3770,,,,,,,,,,
442011,78,大分県,大分市,中央消防署,,大分市舞鶴町一丁目１番１号,,33.239489,131.616021,,097-532-2108,,,,,,,,,,
442011,79,大分県,大分市,東消防署,,大分市東鶴崎一丁目１番２６号,,33.241102,131.694542,,097-527-2721,,,,,,,,,,
442011,80,大分県,大分市,南消防署,,大分市大字市５１番地１,,33.208407,131.589524,,097-586-1230,,,,,,,,,,
442011,81,大分県,大分市,中央消防署南大分分署,,大分市明磧町一丁目１番５号,,33.208374,131.589538,,097-544-7750,,,,,,,,,,
442011,82,大分県,大分市,東消防署佐賀関分署,,大分市大字佐賀関７５０番地９０,,33.248772,131.868833,,097-575-0681,,,,,,,,,,
442011,83,大分県,大分市,中央消防署東大分出張所,,大分市新貝１２番９号,,33.249766,131.647407,,097-556-0856,,,,,,,,,,
442011,84,大分県,大分市,中央消防署西大分出張所,,大分市大字王子西町９番２０号,,33.242404,131.588218,,097-538-5427,,,,,,,,,,
442011,85,大分県,大分市,東消防署坂ノ市出張所,,大分市坂ノ市南二丁目３番１号,,33.230831,131.751594,,097-593-1333,,,,,,,,,,
442011,86,大分県,大分市,大分市水道局　古国府浄水場,,大分市花園三丁目４番１号,,33.213982,131.609253,,097-538-1211,,,,,,,,,,
442011,87,大分県,大分市,大分市情報学習センター,,大分市大石町一丁目３番１号,,33.21062758,131.5872461,,097-545-8616,,,,,,,,,,
442011,88,大分県,大分市,大分市立のつはる少年自然の家,,大分市大字荷尾杵１０９７番地の２６,,33.079446,131.497283,,097-589-2211,,,,,,,,,,
442011,89,大分県,大分市,大分市佐野清掃センター,,大分市大字佐野３４００番地の１０,,33.195351,131.720764,,097-593-4047,,,,,,,,,,
442011,90,大分県,大分市,リサイクルプラザ（福宗環境センター）,,大分市大字福宗６１８番地,,33.167061,131.509216,,097-588-0113,,,,,,,,,,
442011,91,大分県,大分市,旭町文化センター,,大分市旭町１番１号,,33.220959,131.594705,,097-546-2772,,,,,,,,,,
442011,92,大分県,大分市,大分市葬祭場,,大分市大字竹中５６２番地の１,,33.141125,131.641342,,097-597-6671,,,,,,,,,,
442011,93,大分県,大分市,学校給食東部共同調理場,,大分市大字海原９１６番地の３,,33.251778,131.67366,,097-521-7832,,,,,,,,,,
442011,94,大分県,大分市,西部共同調理場,,大字光吉４６７－１２,,33.199875,131.604187,,097-568-0555,,,,,,,,,,
442011,95,大分県,大分市,中央消防署明野出張所,,大分市明野南一丁目１番１０号,,33.223963,131.651574,,097-556-0194,,,,,,,,,,
442011,96,大分県,大分市,東消防署大在出張所,,大分市大在浜一丁目７番４５号,,33.243283,131.72745,,097-592-1909,,,,,,,,,,
442011,97,大分県,大分市,東消防署松岡出張所,,大分市大字毛井１４８７番１,,33.18803464,131.6780091,,097-520-0078,,,,,,,,,,
442011,98,大分県,大分市,南消防署敷戸出張所,,大分市大字宮崎１４３９番地の１,,33.192743,131.6123,,097-569-4624,,,,,,,,,,
442011,99,大分県,大分市,南消防署大南出張所,,大分市大字中戸次５１３０番地,,33.152359,131.655964,,097-597-6927,,,,,,,,,,
442011,100,大分県,大分市,南消防署野津原出張所,,大分市大字野津原８９４－１,,33.159162,131.523646,,097-588-1177,,,,,,,,,,
442011,101,大分県,大分市,明野中学校,,大分市明野南三丁目７－１,,33.218325,131.651824,,097-558-6337,,,,,,,,,,
442011,102,大分県,大分市,上野ヶ丘中学校,,大分市上野町４番５号,,33.228101,131.612411,,097-543-1278,,,,,,,,,,
442011,103,大分県,大分市,大分西中学校,,大分市高崎二丁目２０－１,,33.234989,131.578098,,097-545-6666,,,,,,,,,,
442011,104,大分県,大分市,大在中学校,,大分市大字政所２６０２－１２,,33.234187,131.721373,,097-592-0024,,,,,,,,,,
442011,105,大分県,大分市,王子中学校,,大分市南春日町６－１,,33.236294,131.594301,,097-543-0291,,,,,,,,,,
442011,106,大分県,大分市,賀来中学校,,大分市大字賀来１０１番地の３,,33.206239,131.560221,,097-549-2560,,,,,,,,,,
442011,107,大分県,大分市,神崎中学校,,大分市大字本神崎４８０,,33.237513,131.79717,,097-576-0005,,,,,,,,,,
442011,108,大分県,大分市,坂ノ市中学校,,大分市坂ノ市南二丁目９－７２,,33.228311,131.750934,,097-592-1112,,,,,,,,,,
442011,109,大分県,大分市,佐賀関中学校,,大分市大字佐賀関２－１１５－２,,33.249059,131.863424,,097-575-0401,,,,,,,,,,
442011,110,大分県,大分市,城東中学校,,大分市牧上町１４－１９,,33.239294,131.645713,,097-558-2743,,,,,,,,,,
442011,111,大分県,大分市,城南中学校,,大分市大字荏隈７５４－１９,,33.212712,131.57897,,097-549-2949,,,,,,,,,,
442011,112,大分県,大分市,大東中学校,,大分市横尾東町一丁目２３番１号,,33.209938,131.675878,,097-520-2702,,,,,,,,,,
442011,113,大分県,大分市,滝尾中学校,,大分市大字羽田３４９,,33.214825,131.63352,,097-569-3506,,,,,,,,,,
442011,114,大分県,大分市,竹中中学校,,大分市大字竹中３６２１,,33.133611,131.650798,,097-597-0187,,,,,,,,,,
442011,115,大分県,大分市,鶴崎中学校,,大分市大字皆春１２００－１,,33.236602,131.687237,,097-521-1040,,,,,,,,,,
442011,116,大分県,大分市,東陽中学校,,大分市大字下徳丸197番地の1,,33.208434,131.692785,,097-527-6100,,,,,,,,,,
442011,117,大分県,大分市,野津原中学校,,大分市大字野津原２９７８－１３,,33.154743,131.522558,,097-588-0041,,,,,,,,,,
442011,118,大分県,大分市,原川中学校,,大分市寺崎町一丁目１０－１,,33.246989,131.664655,,097-552-3770,,,,,,,,,,
442011,119,大分県,大分市,判田中学校,,大分市判田台北一丁目１番１号,,33.165468,131.633271,,097-597-0022,,,,,,,,,,
442011,120,大分県,大分市,戸次中学校,,大分市大字中戸次４５０８－１,,33.155616,131.657878,,097-597-0040,,,,,,,,,,
442011,121,大分県,大分市,南大分中学校,,大分市二又町二丁目４番５３号,,33.214879,131.594968,,097-543-2623,,,,,,,,,,
442011,122,大分県,大分市,吉野中学校,,大分市大字辻８１２,,33.111504,131.694211,,097-595-0617,,,,,,,,,,
442011,123,大分県,大分市,稙田中学校,,大分市大字市５８９－２,,33.189991,131.576747,,097-541-0015,,,,,,,,,,
442011,124,大分県,大分市,稙田東中学校,,大分市大字寒田１３６９－１,,33.180077,131.611217,,097-568-2932,,,,,,,,,,
442011,125,大分県,大分市,稙田西中学校,,大分市大字田原３７８,,33.190407,131.56036,,097-541-4312,,,,,,,,,,
442011,126,大分県,大分市,稙田南中学校,,大分市大字田尻１２３－１,,33.189687,131.595524,,097-567-1011,,,,,,,,,,
442011,127,大分県,大分市,金池小学校,,大分市金池町三丁目１－９０,,33.234239,131.61291,,097-543-2500,,,,,,,,,,
442011,128,大分県,大分市,長浜小学校,,大分市長浜町二丁目６－２５,,33.236628,131.617799,,097-534-5251,,,,,,,,,,
442011,129,大分県,大分市,春日町小学校,,大分市西春日町１番４８号,,33.240571,131.597301,,097-534-2580,,,,,,,,,,
442011,130,大分県,大分市,大道小学校,,大分市大道町二丁目９－５７,,33.233128,131.600412,,097-543-2093,,,,,,,,,,
442011,131,大分県,大分市,西の台小学校,,大分市にじが丘三丁目１７１７番地の１,,33.228044,131.584275,,097-543-8756,,,,,,,,,,
442011,132,大分県,大分市,南大分小学校,,大分市二又町二丁目４番１号,,33.214573,131.593663,,097-544-2539,,,,,,,,,,
442011,133,大分県,大分市,城南小学校,,大分市永興二丁目５番２５号,,33.215962,131.586136,,097-544-0363,,,,,,,,,,
442011,134,大分県,大分市,荏隈小学校,,大分市大字荏隈１３８０,,33.214406,131.577553,,097-549-5101,,,,,,,,,,
442011,135,大分県,大分市,豊府小学校,,大分市上田町三丁目４番１号,,33.216102,131.603967,,097-545-0909,,,,,,,,,,
442011,136,大分県,大分市,八幡小学校,,大分市大字生石８２－１,,33.242487,131.575275,,097-532-2908,,,,,,,,,,
442011,137,大分県,大分市,神崎小学校,,大分市大字神崎１７９８番地,,33.254373,131.544889,,097-536-2325,,,,,,,,,,
442011,138,大分県,大分市,滝尾小学校,,大分市羽田５１５番地の１,,33.213908,131.63352,,097-568-0099,,,,,,,,,,
442011,139,大分県,大分市,下郡小学校,,大分市下郡北三丁目１７－２３,,33.228712,131.634298,,097-567-3711,,,,,,,,,,
442011,140,大分県,大分市,森岡小学校,,大分市大字曲１０４１番地の２,,33.205464,131.613939,,097-568-1041,,,,,,,,,,
442011,141,大分県,大分市,東大分小学校,,大分市萩原一丁目１０－３０,,33.243933,131.639408,,097-558-3659,,,,,,,,,,
442011,142,大分県,大分市,日岡小学校,,大分市日岡二丁目２－１,,33.249544,131.658406,,097-558-3363,,,,,,,,,,
442011,143,大分県,大分市,桃園小学校,,大分市山津二丁目７－１,,33.24149,131.668516,,097-558-7638,,,,,,,,,,
442011,144,大分県,大分市,津留小学校,,大分市東津留一丁目４－１,,33.240294,131.630437,,097-558-3117,,,,,,,,,,
442011,145,大分県,大分市,舞鶴小学校,,大分市西浜２－１,,33.246821,131.625798,,097-551-5235,,,,,,,,,,
442011,146,大分県,大分市,明野西小学校,,大分市明野南二丁目６－１,,33.221713,131.646575,,097-558-0924,,,,,,,,,,
442011,147,大分県,大分市,明野東小学校,,大分市明野東三丁目２－１,,33.218714,131.657102,,097-558-4345,,,,,,,,,,
442011,148,大分県,大分市,明野北小学校,,大分市明野北四丁目１０－１,,33.230101,131.655935,,097-551-2930,,,,,,,,,,
442011,149,大分県,大分市,三佐小学校,,大分市三佐五丁目６－８,,33.252266,131.680969,,097-527-2063,,,,,,,,,,
442011,150,大分県,大分市,鶴崎小学校,,大分市南鶴崎三丁目３－１,,33.239186,131.692098,,097-521-2441,,,,,,,,,,
442011,151,大分県,大分市,別保小学校,,大分市大字森町９６３－１,,33.227298,131.684154,,097-527-3011,,,,,,,,,,
442011,152,大分県,大分市,明治小学校,,大分市大字猪野７４番地,,33.218798,131.665295,,097-520-2481,,,,,,,,,,
442011,153,大分県,大分市,明治北小学校,,大分市大字小池原４２８－１,,33.233102,131.667572,,097-522-1222,,,,,,,,,,
442011,154,大分県,大分市,高田小学校,,大分市大字下徳丸３８番地の２,,33.210938,131.689682,,097-527-2387,,,,,,,,,,
442011,155,大分県,大分市,川添小学校,,大分市大字宮河内４５６６,,33.201551,131.697792,,097-529-2319,,,,,,,,,,
442011,156,大分県,大分市,松岡小学校,,大分市大字松岡５０４７,,33.181802,131.667602,,097-520-1009,,,,,,,,,,
442011,157,大分県,大分市,戸次小学校,,大分市大字中戸次４２８０,,33.155331,131.660936,,097-597-0026,,,,,,,,,,
442011,158,大分県,大分市,上戸次小学校,,大分市大字端登１７９２,,33.112419,131.652826,,097-596-1101,,,,,,,,,,
442011,159,大分県,大分市,吉野小学校,,大分市大字辻６５４,,33.114253,131.693878,,097-595-0616,,,,,,,,,,
442011,160,大分県,大分市,竹中小学校,,大分市大字竹中２８２１－１,,33.139166,131.653131,,097-597-0240,,,,,,,,,,
442011,161,大分県,大分市,判田小学校,,大分市判田台東一丁目２番１号,,33.164468,131.636382,,097-597-0078,,,,,,,,,,
442011,162,大分県,大分市,東稙田小学校,,大分市大字田尻４９９－１,,33.186965,131.596857,,097-541-0400,,,,,,,,,,
442011,163,大分県,大分市,稙田小学校,,大分市大字木上４３３－１,,33.18363,131.564276,,097-541-0009,,,,,,,,,,
442011,164,大分県,大分市,賀来小学校,,大分市大字賀来６８－２,,33.2061,131.56136,,097-549-2743,,,,,,,,,,
442011,165,大分県,大分市,敷戸小学校,,大分市敷戸北町１２－１,,33.190382,131.6223,,097-568-4496,,,,,,,,,,
442011,166,大分県,大分市,鴛野小学校,,大分市鴛野１０８－１,,33.183855,131.619133,,097-568-9638,,,,,,,,,,
442011,167,大分県,大分市,宗方小学校,,大分市松が丘一丁目２４番１号,,33.20499,131.577053,,097-541-4499,,,,,,,,,,
442011,168,大分県,大分市,横瀬小学校,,大分市大字横瀬１１０９番地の１,,33.185629,131.540945,,097-541-5582,,,,,,,,,,
442011,169,大分県,大分市,横瀬西小学校,,大分市大字横瀬２４６９番地,,33.190573,131.531473,,097-541-5600,,,,,,,,,,
442011,170,大分県,大分市,寒田小学校,,大分市大字寒田６８４－４,,33.183438,131.604329,,097-568-7911,,,,,,,,,,
442011,171,大分県,大分市,田尻小学校,,大分市田尻１２５０番地,,33.177632,131.589996,,097-542-2350,,,,,,,,,,
442011,172,大分県,大分市,大在小学校,,大分市横田一丁目１５－５８,,33.248046,131.719068,,097-592-0004,,,,,,,,,,
442011,173,大分県,大分市,大在西小学校,,大分市角子原一丁目４－４１,,33.247362,131.70875,,097-521-1005,,,,,,,,,,
442011,174,大分県,大分市,丹生小学校,,大分市大字佐野２６６２番地,,33.21451,131.722959,,097-593-0500,,,,,,,,,,
442011,175,大分県,大分市,小佐井小学校,,大分市小佐井三丁目１－１８,,33.223885,131.74737,,097-592-1063,,,,,,,,,,
442011,176,大分県,大分市,坂ノ市小学校,,大分市坂ノ市中央五丁目８－１,,33.233346,131.756647,,097-592-1047,,,,,,,,,,
442011,177,大分県,大分市,佐賀関小学校,,大分市大字佐賀関１１０４番地,,33.246238,131.874654,,097-575-0662,,,,,,,,,,
442011,178,大分県,大分市,こうざき小学校,,大分市大字本神崎９４５番地－２,,33.238438,131.79931,,097-576-0004,,,,,,,,,,
442011,179,大分県,大分市,今市小学校（今市連絡所）,,大分市今市１０９９－２６,,33.111195,131.450424,,097-589-2001,,,,,,,,,,
442011,180,大分県,大分市,生石保育所,,大分市王子西町８番１１号,,33.243154,131.588135,,097-532-4612,,,,,,,,,,
442011,181,大分県,大分市,浜町保育所,,大分市新川西６組,,33.248321,131.605994,,097-532-4611,,,,,,,,,,
442011,182,大分県,大分市,新春日町保育所,,大分市新春日町一丁目２番８号,,33.232738,131.595329,,097-543-4629,,,,,,,,,,
442011,183,大分県,大分市,金池保育所,,大分市顕徳町一丁目１４番１４号,,33.230045,131.61691,,097-535-0650,,,,,,,,,,
442011,184,大分県,大分市,桜ヶ丘保育所,,大分市金池南一丁目５番１号,,33.229225,131.609314,,097-543-4669,,,,,,,,,,
442011,185,大分県,大分市,下郡保育所,,大分市下郡北二丁目２番１７号,,33.228295,131.629326,,097-567-0788,,,,,,,,,,
442011,186,大分県,大分市,裏川保育所,,大分市下郡１７２１－３１,,33.236128,131.633548,,097-568-1708,,,,,,,,,,
442011,187,大分県,大分市,住吉保育所,,大分市碩田町三丁目３番４号,,33.247793,131.613521,,097-534-2924,,,,,,,,,,
442011,188,大分県,大分市,あかつき保育所,,大分市中判田1880-2,,33.166857,131.636188,,097-597-0043,,,,,,,,,,
442011,189,大分県,大分市,小野鶴こばと保育所,,大分市大字小野鶴1625-1,,33.199046,131.569581,,097-542-2570,,,,,,,,,,
442011,190,大分県,大分市,佐賀関保育所,,大分市大字佐賀関1369-1,,33.246723,131.875641,,097-575-0058,,,,,,,,,,
442011,191,大分県,大分市,のつはる認定こども園,,大分市大字野津原1731-3,,33.162631,131.528669,,097-588-1236,,,,,,,,,,
442011,192,大分県,大分市,河原内保育所,,大分市大字河原内3828-1,,33.123459,131.599167,,097-596-1871,,,,,,,,,,
442011,193,大分県,大分市,敷戸南保育所,,大分市敷戸南町９番２号,,33.18602898,131.6254186,,097-568-0160,,,,,,,,,,
442011,194,大分県,大分市,金池幼稚園,,大分市金池町3丁目1番84号,,33.233517,131.612466,,097-532-5506,,,,,,,,,,
442011,195,大分県,大分市,春日町幼稚園,,大分市西春日町1番48号,,33.240293,131.59669,,097-532-0984,,,,,,,,,,
442011,196,大分県,大分市,豊府幼稚園,,大分市羽屋三丁目２番１２号,,33.214713,131.602884,,097-544-7496,,,,,,,,,,
442011,197,大分県,大分市,滝尾幼稚園,,大分市羽田５１５番地の１,,33.213464,131.633132,,097-569-3581,,,,,,,,,,
442011,198,大分県,大分市,桃園幼稚園,,大分市山津2丁目5番32号,,33.241879,131.668405,,097-551-2723,,,,,,,,,,
442011,199,大分県,大分市,舞鶴幼稚園,,大分市大字西浜2番1号,,33.246932,131.625715,,097-551-8560,,,,,,,,,,
442011,200,大分県,大分市,別保幼稚園,,大分市大字森町963番地の3,,33.226853,131.684238,,097-521-1706,,,,,,,,,,
442011,201,大分県,大分市,明治幼稚園,,大分市大字猪野22の1,,33.217937,131.664768,,097-520-0306,,,,,,,,,,
